Miss Jerry,5.9,Romance
The Story of the Kelly Gang,6.1,Biography/Crime/Drama
Den sorte drøm,5.8,Drama
Cleopatra,5.2,Drama/History
L'Inferno,7.0,Adventure/Drama/Fantasy
From the Manger to the Cross; or Jesus of Nazareth,5.7,Biography/Drama
Madame DuBarry,6.8,Biography/Drama/Romance
Quo Vadis?,6.2,Drama/History
Independenta Romaniei,6.7,History/War
Richard III,5.5,Drama
Atlantis,6.6,Drama
Fantômas - À l'ombre de la guillotine,7.0,Crime/Drama
Ingeborg Holm,7.1,Drama
Juve contre Fantômas,7.0,Crime/Drama
Ma l'amor mio non muore...,6.2,Drama
Maudite soit la guerre,6.5,Drama/War
Le mort qui tue,7.0,Crime/Drama/Mystery
Home Sweet Home,5.8,Drama
Der Student von Prag,6.5,Drama/Fantasy/Horror
Traffic in Souls,6.0,Crime/Drama
Gli ultimi giorni di Pompei,6.2,Adventure/Drama
Assunta Spina,6.4,Drama
The Avenging Conscience: or 'Thou Shalt Not Kill',6.4,Crime/Drama/Horror
The Bargain,6.5,Western
Cabiria,7.1,Adventure/Drama/History
Cinderella,6.0,Fantasy/Drama
L'enfant de Paris,7.5,Crime/Drama
Fantômas contre Fantômas,6.9,Crime/Drama
A Florida Enchantment,5.8,Comedy
Der Golem,6.8,Horror
Det hemmelighedsfulde X,7.0,Drama/Mystery
His Majesty the Scarecrow of Oz,5.2,Family/Fantasy/Adventure
Hypocrites,6.6,Drama
In the Land of the Head Hunters,5.8,Drama/History
Judith of Bethulia,6.1,Drama
The Patchwork Girl of Oz,5.5,Adventure/Family/Fantasy
The Perils of Pauline,6.3,Action/Adventure/Drama
The Squaw Man,5.7,Action/Drama/Romance
Tess of the Storm Country,6.1,Drama
Tillie's Punctured Romance,6.3,Comedy
A tolonc,6.3,Drama
Uncle Tom's Cabin,5.3,Drama
The Virginian,5.6,Western
The Wishing Ring: An Idyll of Old England,6.4,Comedy/Drama
The Wrath of the Gods,5.7,Drama/Romance
Alias Jimmy Valentine,6.6,Crime/Drama
Alice in Wonderland,6.2,Adventure/Family/Fantasy
The Birth of a Nation,6.3,Drama/History/War
Carmen,6.4,Drama
The Cheat,6.6,Drama/Romance
The Coward,6.0,Drama/History/War
A Fool There Was,5.8,Drama
The Golden Chance,6.4,Drama
Hævnens Nat,6.8,Crime/Drama/Horror
The Italian,6.6,Drama
Maciste,5.9,Adventure
Martyrs of the Alamo,5.6,Drama/History/War
The Nigger,6.1,Drama
Posle smerti,6.9,Drama
Rapsodia satanica,6.9,Drama/Fantasy/Horror
The Regeneration,6.8,Biography/Crime/Drama
